# 1/L, T_max_C, T_max_X
5.387205387205386969e-02 2.312279358793022155e+00 2.382578993613647000e+00
5.471380471380471455e-02 2.313002413955681291e+00 2.384421863614932580e+00
5.555555555555555247e-02 2.313725469118340428e+00 2.386264733616218603e+00
5.639730639730639733e-02 2.314448524280999564e+00 2.388107603617504626e+00
5.723905723905723525e-02 2.315171579443658700e+00 2.389950473618790205e+00
5.808080808080808011e-02 2.315894634606317837e+00 2.391793343620076229e+00
5.892255892255891803e-02 2.316617689768976973e+00 2.393636213621361808e+00
5.976430976430976288e-02 2.317340744931636110e+00 2.395479083622647831e+00
6.060606060606060080e-02 2.318063800094295246e+00 2.397321953623933410e+00
6.144781144781144566e-02 2.318786855256954382e+00 2.399164823625219434e+00
6.228956228956228358e-02 2.319509910419613519e+00 2.401007693626505457e+00
6.313131313131313538e-02 2.320232965582272655e+00 2.402850563627791036e+00
6.397306397306397330e-02 2.320956020744931791e+00 2.404693433629077060e+00
6.481481481481481122e-02 2.321679075907590928e+00 2.406536303630362639e+00
6.565656565656564914e-02 2.322402131070250064e+00 2.408379173631648662e+00
6.649831649831650093e-02 2.323125186232909201e+00 2.410222043632934685e+00
6.734006734006733885e-02 2.323848241395568337e+00 2.412064913634220265e+00
6.818181818181817677e-02 2.324571296558227473e+00 2.413907783635506288e+00
6.902356902356901469e-02 2.325294351720886610e+00 2.415750653636791867e+00
6.986531986531986649e-02 2.326017406883545746e+00 2.417593523638077890e+00
7.070707070707070441e-02 2.326740462046204883e+00 2.419436393639363914e+00
7.154882154882154233e-02 2.327463517208864019e+00 2.421279263640649493e+00
7.239057239057239412e-02 2.328186572371523155e+00 2.423122133641935516e+00
7.323232323232323204e-02 2.328909627534182292e+00 2.424965003643221095e+00
7.407407407407406996e-02 2.329632682696841428e+00 2.426807873644507119e+00
7.491582491582490788e-02 2.330355737859500564e+00 2.428650743645793142e+00
7.575757575757575968e-02 2.331078793022159701e+00 2.430493613647078721e+00
7.659932659932659760e-02 2.331801848184818837e+00 2.432336483648364744e+00
7.744107744107743552e-02 2.332524903347477974e+00 2.434179353649650324e+00
7.828282828282827344e-02 2.333247958510137110e+00 2.436022223650936347e+00
7.912457912457912523e-02 2.333971013672796246e+00 2.437865093652222370e+00
7.996632996632996315e-02 2.334694068835455383e+00 2.439707963653507949e+00
8.080808080808080107e-02 2.335417123998114519e+00 2.441550833654793973e+00
8.164983164983165287e-02 2.336140179160773656e+00 2.443393703656079552e+00
8.249158249158249079e-02 2.336863234323432792e+00 2.445236573657365575e+00
8.333333333333332871e-02 2.337586289486091928e+00 2.447079443658651154e+00
